0,1,2,3,4,5,6,7,8,9,10,11
11110AES 510000,            專題演講Colloquium,0,      W7W8,      BMES醫環301／容量92,"吳劍侯WU, CHIEN-HOU",55,"限分環所,環境博士學程",15,       , ,
11110AES 510100,            碩士班專題研究MS Graduate Research,1,,,指導教授, ,指導教授限分環所教師 限分環所碩士班2年級,10,       , ,
11110AES 511100,            書報討論Seminar,1,      W5W6,      BMES醫環419／容量20,"吳劍侯WU, CHIEN-HOU",55,限分環所碩一學生可選 限分環所碩士班1年級,0,       , ,
11110AES 520100,            環境分析化學Environmental Analytical Chemistry,3,      R5R6R7,      BMES醫環501／容量45,"黃郁棻HUANG, YU-FEN", ,環境科技學程(第二專長),11,       , ,
11110AES 520300,            環境化學Environment Chemistry,3,      M6M7F3F4,      BMES醫環501／容量45,"董瑞安DOONG, RUEY-AN", ,/Offered in English 本課程上150分鐘，其餘時間由教授視情形彈性運用 環境科技學程(第二專長),3,       , ,
11110AES 520400,            生態與健康Ecohealth,3,      R2R3R4,      BMES醫環717／容量40,"楊樹森YANG, SHU-SEN周秀專CHOU, HSIU-CHUAN", ,,4,       , ,
11110AES 530200,            表面分析技術Surface Analysis Techniques,3,      W2W3W4,      BMES醫環618／容量28,"周子勤CHOU, TSU-CHIN", ,/Offered in English,3,       , ,
11110AES 540400,            分子光譜學Molecular Spectroscopy,3,      M2M3M4,      BMES醫環501／容量45,"周子勤CHOU, TSU-CHIN", ,,5,       , ,
11110AES 550200,            當代環境醫學特論一Specific Topic for Contemporary Environmental Medicine (I),1,      M2,      BMES醫環105／容量15,"周秀專CHOU, HSIU-CHUAN",0,需與老師討論後加簽選課,0,       , ,
11110AES 570100,            廢棄物與處理Waste Management and Treatment,3,      T2T3T4,      BMES醫環717／容量40,"王竹方WANG, CHU-FANG", ,(跨領域)能源科技與永續社會學分學程/(跨領域)先進能源研究生學分學程 環境科技學程(第二專長),6,       , ,
11110AES 610000,            論文研究Thesis,0,,,指導教授, ,限分環所碩二以上 排除分環所碩士班2年級,0,       , ,
11110AES 611100,            專題書報討論Seminar,1,      W5W6,      BMES醫環501／容量45,"楊樹森YANG, SHU-SEN",55,"/Offered in English 需先修畢書報討論 限分環所,環境博士學程",15,       , ,
11110AIIM500100,            產學實務專題一Special Topics on Industrial Practice I,2,,,指導教授, ,本課程由專班主任開設、指導教授評定成績 限AI智造暨聯網產碩專班,0,       , ,
11110AMEV500100,            產業實務專題(一) ,2,,,指導教授, ,由專班主任開設，指導教授評分 限電動載具先進製造產碩專班,0,       , ,
11110ANTH500000,            論文研究Thesis,0,,,指導教授, ,限人類所碩三以上同學，Selectable after successfully completing second year's coursework 排除碩士班1年級2年級,2,       , ,
11110ANTH651000,            文化人類學專題Special Topics in Cultural Anthropology,3,      R2R3R4,      HSS人社C304／容量20,許瀞文CHING-WEN HSU, ,本課程為16 週課程 排除大學部1年級2年級3年級4年級,2,       , ,
11110ANTH672400,            人類學的社群研究Anthropology of Community Studies,3,      T6T7T8,      HSS人社C304／容量20,"呂玫鍰LU, MEI-HUAN", ,本課程為16 週課程 排除大學部1年級2年級3年級,1,       , ,
11110ANTH674200,            台灣史前文化Prehistoric culture of Taiwan,3,      R2R3R4,      HSS人社C303／容量10,"邱鴻霖CHIU, HUNG-LIN", ,排除大學部1年級2年級3年級,6,       , ,
11110ANTH674300,            當代人類處境專題Contemporary Human Conditions: Anthropological Perspectives,3,      F2F3F4,      HSS人社C304／容量20,"林浩立LIN, HAO-LI", ,排除大學部1年級2年級3年級4年級,9,       , ,
11110ANTH675700,            中國考古學Chinese Archaeology,3,      M6M7M8,      HSS人社C304／容量20,"臧振華TSANG, CHENG-HWA", ,排除大學部1年級2年級 (跨領域)藝術學分學程,9,       , ,
11110ANTH676800,            殖民考古學The Archaeology of Colonialism,3,      T2T3T4,      HSS人社C304／容量20,謝艾倫ELLEN HSIEH,10,本課程為16 週課程 排除大學部1年級2年級,2,       , ,
11110ANTH678400,"            自然文化與權力：殖民主義到21世紀資本主義Nature, Culture, and Power from Colonialism to 21st Century Capitalism",3,      T2T3T4,      HSS人社C303／容量10,"高進榮GALIPEAU, BRENDAN ARTHUR",10,/Offered in English 本課程為16 週課程 排除大學部1年級2年級 (跨領域)世界南島暨原住民族學分學程,2,       , ,
11110ANTH678800,            文化人類學田野實習Fieldwork Training,1,      F5,      HSS人社C304／容量20,"李威宜LEE, WEI-I", ,需修過人類學方法論 排除大學部1年級2年級3年級4年級,4,       ,   擋修對象 : 全校   先修科目 : 人類學方法論-成績需B-以上上述條件一定要有，則不擋修。,
11110ANTH678900,            考古學田野實習Archaeological Field Practicum,1,      W3,,謝艾倫ELLEN HSIEH, ,"需先修過考古學方法論,上課地點:人社A421 排除大學部1年級2年級3年級4年級",4,       ,   擋修對象 : 全校   先修科目 : 考古學方法論-成績需B-以上上述條件一定要有，則不擋修。,
11110ANTH679500,            文化人類學Advance Cultural Anthropology,3,      W2W3W4,      HSS人社C304／容量20,"陳中民CHEN, CHUNG-MIN", ,/Offered in English 此為本所乙組:南島英語學程組之必修課 排除大學部1年級2年級3年級4年級 (跨領域)世界南島暨原住民族學分學程,3,       , ,
11110ANTH679600,            書報討論：主體性研究Seminar：Studies of Subjectivity,2,      W3W4,,指導教授,3,上課地點: 人社院C616 限人類所,1,       , ,
11110ANTH679700,            台灣考古學Archaeology of Taiwan,3,      M2M3M4,      HSS人社C304／容量20,王儷螢LI-YING WANG, ,/Offered in English,1,       , ,
11110ANTH800000,            論文研究Thesis,0,,,指導教授, ,限人類所博三以上同學，Selectable after successfully completing second year's coursework. 排除博士班1年級2年級,1,       , ,
ANTU　人類所與交大合作課程 Anthropology and NCTU,,,,,,,,,,,
11110ASTR500100,            專題研究--天文教學二Special Topic on Teaching Astronomy (II),1,,,指導教授, ,,1,       , ,
11110ASTR530000,            星系天文學Galactic Astronomy,3,      T6T7T8,      GEN II綜二521／容量45,"安德魯˙古柏COOPER, ANDREW PAUL", ,/Offered in English,3,       , ,
11110ASTR591000,            專題演講一Colloquium (I),1,      F6F7,      GEN II綜二521／容量45,何英宏Daniel Harsono, ,/Offered in English,5,       , ,
11110ASTR600700,            天文物理的前沿一Frontier of Astrophysics Seminars I,1,      TnWnRn,      GEN II綜二501／容量25,"後藤友嗣GOTO, TOMOTSUGU", ,/Offered in English,5,       , ,
11110ASTR610000,            天文觀測Observational Astronomy,3,      W6W7W8,      GEN II綜二521／容量45,江國興ALBERT KONG,15,/Offered in English (台聯大)太空科技與工程學分學程,7,       , ,
11110ASTR660000,            計算天文物理Computational Astrophysics,3,      R6R7R8,      GEN II綜二501／容量25,"楊湘怡YANG, HSIANG-YI", ,/Offered in English,12,       , ,
11110ASTR691000,            論文研究Thesis,0,,,指導教授, ,限天文所碩二以上同學，Selectable after successfully completing first year's coursework 排除天文所碩士班1年級,1,       , ,
11110ASTR992000,            論文研究Thesis,0,,,指導教授, ,限天文所博二以上同學，Selectable after successfully completing first year's coursework 排除博士班1年級,1,       , ,
