course_ID_full_orig,current_stage_enrollment
11110AES 510000,15
11110AES 510100,10
11110AES 511100,0
11110AES 520100,11
11110AES 520300,3
11110AES 520400,4
11110AES 530200,3
11110AES 540400,5
11110AES 550200,0
11110AES 570100,6
11110AES 610000,0
11110AES 611100,15
11110AIIM500100,0
11110AMEV500100,0
11110ANTH500000,2
11110ANTH651000,2
11110ANTH672400,1
11110ANTH674200,6
11110ANTH674300,9
11110ANTH675700,9
11110ANTH676800,2
11110ANTH678400,2
11110ANTH678800,4
11110ANTH678900,4
11110ANTH679500,3
11110ANTH679600,1
11110ANTH679700,1
11110ANTH800000,1
11110ASTR500100,1
11110ASTR530000,3
11110ASTR591000,5
11110ASTR600700,5
11110ASTR610000,7
11110ASTR660000,12
11110ASTR691000,1
11110ASTR992000,1
11110BAI 700100,2
11110BAI 700300,1
11110BAI 700600,1
11110BME 400100,7
11110BME 500400,20
11110BME 500800,9
11110BME 501200,15
11110BME 501900,9
11110BME 502400,2
11110BME 502500,6
11110BME 502600,10
11110BME 503600,3
11110BME 503900,9
11110BME 504000,8
11110BME 504400,6
11110BME 504600,1
11110BME 504900,0
11110BME 800100,0
11110BMES111100,3
11110BMES211100,37
11110BMES212100,58
11110BMES213300,49
11110BMES215100,43
11110BMES312101,10
11110BMES312102,25
11110BMES316100,37
11110BMES318100,15
11110BMES323100,12
11110BMES327200,19
11110BMES332100,10
11110BMES337100,19
11110BMES343100,10
11110BMES411100,21
11110BMES418100,21
11110BMES420200,15
11110BMES423100,17
11110BMES433100,79
11110BMES441100,25
11110BMES441200,18
11110BMES441300,19
11110BMES442100,19
11110BMES500000,40
11110BMES511101,4
11110BMES511103,2
11110BMES512100,7
11110BMES520100,5
11110BMES520200,18
11110BMES523500,15
11110BMES529100,0
11110BMES544500,2
11110BMES545300,3
11110BMES545500,10
11110BMES546300,19
11110BMES546700,2
11110BMES548500,4
11110BMES610200,21
11110BMES611101,18
11110BMES611103,9
11110BMES711100,8
11110BMES712100,2
11110BMES810100,1
11110CL  101001,0
11110CL  101002,0
11110CL  101003,0
11110CL  101004,0
11110CL  101005,0
11110CL  101006,0
11110CL  101007,0
11110CL  101008,0
11110CL  101011,0
11110CL  101012,0
11110CL  101013,0
11110CL  101014,0
11110CL  101015,0
11110CL  101016,0
11110CL  101017,0
11110CL  101022,0
11110CL  101023,0
11110CL  101024,0
11110CL  101025,0
11110CL  101026,0
11110CL  101029,0
11110CL  101030,0
11110CL  101031,0
11110CL  101032,0
