0,1,2,3,4,5,6,7,8
11110AES 510000,專題演講Colloquium,"吳劍侯WU, CHIEN-HOU",W7W8,55,15,40,6,
11110AES 510100,碩士班專題研究MS Graduate Research,指導教授, ,無限制,10,無限制,0,
11110AES 511100,書報討論Seminar,"吳劍侯WU, CHIEN-HOU",W5W6,55,0,55,6,
11110AES 520100,環境分析化學(增開)Environmental Analytical Chemistry,"黃郁棻HUANG, YU-FEN",R5R6R7,無限制,16,無限制,0,
11110AES 520300,環境化學Environment Chemistry,"董瑞安DOONG, RUEY-AN",M6M7F3F4,無限制,8,無限制,0,
11110AES 520400,生態與健康Ecohealth,"楊樹森YANG, SHU-SEN周秀專CHOU, HSIU-CHUAN",R2R3R4,無限制,9,無限制,0,
11110AES 530200,表面分析技術Surface Analysis Techniques,"周子勤CHOU, TSU-CHIN",W2W3W4,無限制,6,無限制,0,
11110AES 540400,分子光譜學Molecular Spectroscopy,"周子勤CHOU, TSU-CHIN",M2M3M4,無限制,9,無限制,0,
11110AES 550200,當代環境醫學特論一Specific Topic for Contemporary Environmental Medicine (I),"周秀專CHOU, HSIU-CHUAN",M2,0,0,0,0,
11110AES 570100,廢棄物與處理Waste Management and Treatment,"王竹方WANG, CHU-FANG",T2T3T4,無限制,18,無限制,0,
11110AES 610000,論文研究Thesis,指導教授, ,無限制,1,無限制,0,
11110AES 611100,專題書報討論Seminar,"楊樹森YANG, SHU-SEN",W5W6,55,15,40,0,
11110AIIM500100,產學實務專題一Special Topics on Industrial Practice I,指導教授, ,無限制,2,無限制,0,
11110AMEV500100,產業實務專題(一) ,指導教授, ,無限制,0,無限制,0,
11110ANTH500000,論文研究Thesis,指導教授, ,無限制,2,無限制,0,
11110ANTH651000,文化人類學專題Special Topics in Cultural Anthropology,許瀞文CHING-WEN HSU,R2R3R4,無限制,8,無限制,0,
11110ANTH672400,人類學的社群研究Anthropology of Community Studies,"呂玫鍰LU, MEI-HUAN",T6T7T8,無限制,6,無限制,0,
11110ANTH674200,台灣史前文化Prehistoric culture of Taiwan,"邱鴻霖CHIU, HUNG-LIN",R2R3R4,無限制,6,無限制,0,
