course_ID_full_orig,course_ID,course_num,department,course_title_zh,course_title_eng,credit_unit,limit,new_only,gen_cat,language,room_and_time_orig,time,building,instructor,memo,prerequisite,limitation,speciality,program,extra_enrollment,required_or_elective
11110AES 510000,AES 510000,AES5100,AES  分環所,專題演講,Colloquium,0,55,0,--,中文 ZH,"BMES醫環301	W7W8
",W7W8,BMES醫環,"吳劍侯	WU, CHIEN-HOU",--,--,"限分環所,環境博士學程",--,--,O 接受 Allowed,分環所111M必修
11110AES 510100,AES 510100,AES5101,AES  分環所,碩士班專題研究,MS Graduate Research,1,--,0,--,中文 ZH,--,--,--,指導教授	,指導教授限分環所教師,--,限分環所碩士班2年級,--,--,O 接受 Allowed,分環所111M必修
11110AES 511100,AES 511100,AES5111,AES  分環所,書報討論,Seminar,1,55,0,--,中文 ZH,"BMES醫環419	W5W6
",W5W6,BMES醫環,"吳劍侯	WU, CHIEN-HOU",限分環所碩一學生可選,--,限分環所碩士班1年級,--,--,O 接受 Allowed,分環所111M必修
11110AES 520100,AES 520100,AES5201,AES  分環所,環境分析化學,Environmental Analytical Chemistry,3,--,0,--,中文 ZH,"BMES醫環501	R5R6R7
",R5R6R7,BMES醫環,"黃郁棻	HUANG, YU-FEN",--,--,--,環境科技學程(二),--,O 接受 Allowed,分環所111M必修/原科院學士班108B選修
11110AES 520300,AES 520300,AES5203,AES  分環所,環境化學,Environment Chemistry,3,--,0,--,英文 EN,"BMES醫環501	M6M7F3F4
",M6M7F3F4,BMES醫環,"董瑞安	DOONG, RUEY-AN",本課程上150分鐘，其餘時間由教授視情形彈性運用,--,--,環境科技學程(二),--,O 接受 Allowed,分環所111M必修/原科院學士班108B必修
11110AES 520400,AES 520400,AES5204,AES  分環所,生態與健康,Ecohealth,3,--,0,--,中文 ZH,"BMES醫環717	R2R3R4
",R2R3R4,BMES醫環,"周秀專	CHOU, HSIU-CHUAN
楊樹森	YANG, SHU-SEN",--,--,--,--,--,O 接受 Allowed,分環所111M必修
11110AES 530200,AES 530200,AES5302,AES  分環所,表面分析技術,Surface Analysis Techniques,3,--,0,--,英文 EN,"BMES醫環618	W2W3W4
",W2W3W4,BMES醫環,"周子勤	CHOU, TSU-CHIN",--,--,--,--,--,O 接受 Allowed,分環所111M選修/原科院學士班108B選修
11110AES 540400,AES 540400,AES5404,AES  分環所,分子光譜學,Molecular Spectroscopy,3,--,0,--,中文 ZH,"BMES醫環501	M2M3M4
",M2M3M4,BMES醫環,"周子勤	CHOU, TSU-CHIN",--,--,--,--,--,O 接受 Allowed,分環所111M選修
11110AES 550200,AES 550200,AES5502,AES  分環所,當代環境醫學特論一,Specific Topic for Contemporary Environmental Medicine (I),1,0,0,--,中文 ZH,"BMES醫環105	M2
",M2,BMES醫環,"周秀專	CHOU, HSIU-CHUAN",需與老師討論後加簽選課,--,--,--,--,O 接受 Allowed,分環所111M選修
11110AES 570100,AES 570100,AES5701,AES  分環所,廢棄物與處理,Waste Management and Treatment,3,--,0,--,中文 ZH,"BMES醫環717	T2T3T4
",T2T3T4,BMES醫環,"王竹方	WANG, CHU-FANG",--,--,--,環境科技學程(二),(跨領域)能源科技與永續社會學分學程/(跨領域)先進能源研究生學分學程,O 接受 Allowed,分環所111M選修/原科院學士班108B選修/核工所111D選修/核工所111M選修
11110AES 610000,AES 610000,AES6100,AES  分環所,論文研究,Thesis,0,--,0,--,中文 ZH,--,--,--,指導教授	,限分環所碩二以上,--,排除分環所碩士班2年級,--,--,O 接受 Allowed,分環所111M必修
11110AES 611100,AES 611100,AES6111,AES  分環所,專題書報討論,Seminar,1,55,0,--,英文 EN,"BMES醫環501	W5W6
",W5W6,BMES醫環,"楊樹森	YANG, SHU-SEN",需先修畢書報討論,--,"限分環所,環境博士學程",--,--,O 接受 Allowed,分環所111M必修
11110AIIM500100,AIIM 500100,AIIM5001,AIIM AI智造暨聯網產碩專班,產學實務專題一,Special Topics on Industrial Practice I,2,--,0,--,中文 ZH,--,--,--,指導教授	,本課程由專班主任開設、指導教授評定成績,--,限AI智造暨聯網產碩專班,--,--,O 接受 Allowed,AI智造暨聯網產碩專班111M必修
11110AMEV500100,AMEV 500100,AMEV5001,AMEV 電動載具先進製造產碩,產業實務專題(一),--,2,--,0,--,中文 ZH,--,--,--,指導教授	,由專班主任開設，指導教授評分,--,限電動載具先進製造產碩專班,--,--,O 接受 Allowed,電動載具先進製造產碩專班111M必修
11110ANTH500000,ANTH 500000,ANTH5000,ANTH 人類所,論文研究,Thesis,0,--,0,--,中文 ZH,--,--,--,指導教授	,限人類所碩三以上同學，Selectable after successfully completing second year's coursework,--,排除碩士班1年級2年級,--,--,O 接受 Allowed,人類所111M必修
11110ANTH651000,ANTH 651000,ANTH6510,ANTH 人類所,文化人類學專題,Special Topics in Cultural Anthropology,3,--,0,--,中文 ZH,"HSS人社C304	R2R3R4
",R2R3R4,HSS人社,許瀞文	CHING-WEN HSU,本課程為16 週課程,--,排除大學部1年級2年級3年級4年級,--,--,O 接受 Allowed,人類所111D選修/人類所111M必修/台研教在職學位班111P選修
11110ANTH672400,ANTH 672400,ANTH6724,ANTH 人類所,人類學的社群研究,Anthropology of Community Studies,3,--,0,--,中文 ZH,"HSS人社C304	T6T7T8
",T6T7T8,HSS人社,"呂玫鍰	LU, MEI-HUAN",本課程為16 週課程,--,排除大學部1年級2年級3年級,--,--,O 接受 Allowed,人類所111D選修/人類所111M選修/台研教在職學位班111P選修
11110ANTH674200,ANTH 674200,ANTH6742,ANTH 人類所,台灣史前文化,Prehistoric culture of Taiwan,3,--,0,--,中文 ZH,"HSS人社C303	R2R3R4
",R2R3R4,HSS人社,"邱鴻霖	CHIU, HUNG-LIN",--,--,排除大學部1年級2年級3年級,--,--,O 接受 Allowed,人類所111D選修/人類所111M選修/台研教在職學位班111P選修
11110ANTH674300,ANTH 674300,ANTH6743,ANTH 人類所,當代人類處境專題,Contemporary Human Conditions: Anthropological Perspectives,3,--,0,--,中文 ZH,"HSS人社C304	F2F3F4
",F2F3F4,HSS人社,"林浩立	LIN, HAO-LI",--,--,排除大學部1年級2年級3年級4年級,--,--,O 接受 Allowed,人類所111D必修/人類所111M選修/台研教在職學位班111P選修
11110ANTH675700,ANTH 675700,ANTH6757,ANTH 人類所,中國考古學,Chinese Archaeology,3,--,0,--,中文 ZH,"HSS人社C304	M6M7M8
",M6M7M8,HSS人社,"臧振華	TSANG, CHENG-HWA",--,--,排除大學部1年級2年級,--,(跨領域)藝術學分學程,O 接受 Allowed,人類所111D選修/人類所111M選修/台研教在職學位班111P選修
11110ANTH676800,ANTH 676800,ANTH6768,ANTH 人類所,殖民考古學,The Archaeology of Colonialism,3,10,0,--,中文 ZH,"HSS人社C304	T2T3T4
",T2T3T4,HSS人社,謝艾倫	ELLEN HSIEH,本課程為16 週課程,--,排除大學部1年級2年級,--,--,O 接受 Allowed,人類所111D選修/人類所111M選修/台研教在職學位班111P選修
11110ANTH678400,ANTH 678400,ANTH6784,ANTH 人類所,自然文化與權力：殖民主義到21世紀資本主義,"Nature, Culture, and Power from Colonialism to 21st Century Capitalism",3,10,0,--,英文 EN,"HSS人社C303	T2T3T4
",T2T3T4,HSS人社,"高進榮	GALIPEAU, BRENDAN ARTHUR",本課程為16 週課程,--,排除大學部1年級2年級,--,(跨領域)世界南島暨原住民族學分學程,O 接受 Allowed,人類所111D選修/人類所111M選修/台研教在職學位班111P選修
