0,1,2,3,4,5
10920AES 370100,環境科學與工程Environmental Science and Engineering,"吳劍侯WU, CHIEN-HOU",8,3.21,1.02
10920AES 510000,專題演講Colloquium,"周秀專CHOU, HSIU-CHUAN",39,3.97,0.16
10920AES 510100,碩士班專題研究MS Graduate Research,指導教授,27,4.11,0.32
10920AES 511100,書報討論Seminar,"周秀專CHOU, HSIU-CHUAN",21,3.96,0.21
10920AES 520200,綠色科技Green technology,"周子勤CHOU, TSU-CHIN",31,3.54,0.67
10920AES 540300,生物分析技術Bioanalytical Chemistry,"黃郁棻HUANG, YU-FEN",3,4.2,0.14
10920AES 560100,生物環境復育Environmental Bioremediation,"李清福LEE, CHING-FU",5,4,0.19
10920AES 560300,當代環境醫學特論二Specific Topic for Contemporary Environmental Medicine (II),"周秀專CHOU, HSIU-CHUAN",5,4.12,0.15
10920AES 570300,汙染生態學Pollution Ecology,"楊樹森YANG, SHU-SEN",4,4.15,0.15
10920AES 580100,環境奈米科學Environmental Nano-science,"王竹方WANG, CHU-FANG",24,4.02,0.25
10920AES 611100,專題書報討論Seminar,"周秀專CHOU, HSIU-CHUAN",20,3.97,0.16
10920ANTH600000,南島語系社會與文化Austronesian Societies and Cultures,"顧坤惠KU, KUN-HUI",5,4,0.19
10920ANTH652300,經濟人類學Anthropology of Economics,"方怡潔FANG, I-CHIEH",6,3.83,0.31
10920ANTH654200,人類學方法論Anthropological Methodology,"李威宜LEE, WEI-I",15,3.6,0.82
10920ANTH676500,東南亞考古學Archaeology of Southeast Asia,"臧振華TSANG, CHENG-HWA",4,3.83,0.37
10920ANTH676700,考古學方法論Archaeological Methodology,"邱鴻霖CHIU, HUNG-LIN",4,4.08,0.13
10920ANTH678200,當代考古學理論Contemporary Archaeological Theories and Methods,謝艾倫ELLEN HSIEH,3,4,0
10920ANTH678300,疫病與社會：人類世觀點Epidemic and Society in Anthropocene,"劉紹華LIU, SHAO-HUA黃樹民HUANG, SHU-MIN",4,3.93,0.13
10920ANTH678400,"自然文化與權力：殖民主義到21世紀資本主義Nature, Culture, and Power from Colonialism to 21st Century Capitalism","高進榮GALIPEAU, BRENDAN ARTHUR",2,4.3,0
10920ANTH678500,"藝術、人類學、與民族誌的對話Art, Anthropology, and Ethnography","許瀞文CHING-WEN HSU張晴文CHANG, CHING-WEN",9,3.87,0.21
10920ANTH678600,動物考古學Zooarchaeology,"李匡悌LI, KUANG-TI",10,4.06,0.22
10920ANTH678700,書報討論：環境保育民族誌Ethnographies of Conservation,指導教授,1,4.3,0
10920ASTR530000,星系天文學Galactic Astronomy,"安德魯˙古柏COOPER, ANDREW PAUL",8,3.68,0.58
10920ASTR592000,專題演講二Colloquium (II),"楊湘怡YANG, HSIANG-YI",14,3.84,0.31
10920ASTR620000,天文輻射物理Astrophysical Radiative Processes,"賴詩萍LAI, SHIH-PING",10,4.06,0.26
10920ASTR660000,計算天文物理Computational Astrophysics,"潘國全PAN, KUO-CHUAN",8,3.6,1.06
10920ASTR670000,電漿天文物理與磁流體動力學Plasma Astrophysics and Magnetohydrodynamics,廣谷幸一HIROTANI KOICHI,6,3.82,0.42
10920BME 400100,專題研究Undergraduate Research,指導教授,7,4.26,0.11
10920BME 500400,書報討論Seminar,"黃玠誠HUANG, CHIEH-CHENG",26,4.01,0.27
10920BME 500500,奈米材料化學Nanomaterial Chemistry,"萬德輝WAN, DE-HUI",5,3.86,0.34
10920BME 501400,癌症奈米科技Cancer Nanotechnology,"陳韻晶CHEN, YUN-CHING",8,4.15,0.15
10920BME 501500,生物醫學技術Techniques in Biology and Medicine,"陳韻晶CHEN, YUN-CHING",25,4.1,0.18
10920BME 502000,無機材料與工程Inorganic Materials and Engineering,"萬德輝WAN, DE-HUI",4,4.08,0.13
10920BME 502500,生物分析化學Bioanalytical Chemistry,"林宗宏LIN, ZONG-HONG",13,3.95,0.41
10920BME 503100,重點照護檢驗Point-of-Care Diagnostics,"鄭兆珉CHENG, CHAO-MIN",4,4.3,0
10920BME 503200,再生醫學與組織工程Regenerative medicine and tissue engineering,"黃玠誠HUANG, CHIEH-CHENG",16,3.98,1.03
10920BME 503400,分子生醫影像導論Introduction to Molecular Imaging,"魯才德LU, TSAI-TE",20,3.78,0.67
10920BME 503500,醫療器材進階法規實作練習Workshop Practice on Medical Device Regulations,"王明哲WANG, MING-CHE",12,4.3,0
10920BME 504300,磁性生醫材料Magnetic Biomaterial,"魯才德LU, TSAI-TE",4,4.3,0
10920BME 504500,重點照護檢驗實作Prototyping Point-of-Care Diagnostics,"鄭兆珉CHENG, CHAO-MIN",6,4.3,0
10920BME 504700,生醫感測數值統計分析Biomedical sensing technology and statistical analysis,"林幸瑩LIN, HSING-YING",6,4.3,0
10920BMES112200,生命科學導論Introduction to Life Science,"莊淳宇CHUANG, CHUN-YU",41,3.59,0.77
10920BMES211200,工程數學二Engineering Mathematics II,"劉耕谷LIU, KENG-KU",54,3.67,0.9
10920BMES225200,有機化學二Organic Chemistry (II),"俞鐘山YU, CHUNG-SHAN",19,2.99,1.12
10920BMES232200,分析化學一Analytical Chemistry (I),"李亦淇LEE, I-CHI",12,3.28,0.89
10920BMES240200,計算機概論與程式語言Introduction to Computer Science and Programming Language,"彭旭霞PENG, HSU-HSIA",19,3.95,0.26
10920BMES318200,專題研究二Undergraduate Research (II),指導教授,21,4.17,0.2
10920BMES323401,生物與材料實驗Biology and Biomedical Materials Laboratory,"李亦淇LEE, I-CHI",11,4.19,0.19
10920BMES323402,生物與材料實驗Biology and Biomedical Materials Laboratory,"胡尚秀HU, SHANG-HSIU",20,4.16,0.36
10920BMES325100,生理解剖學Human Anatomy and Physiology,"柯美蘭KO, MEI-LAN",46,3.35,0.87
10920BMES325300,光學Optics,"陳之碩CHEN, CHI-SHUO",12,3.63,1.15
10920BMES326200,生物化學二Biochemistry II,"江啟勳CHIANG, CHI-SHIUN",14,3.66,0.68
10920BMES411200,書報討論Seminar,"許志楧HSU, CHIH-YING",5,3.94,0.22
10920BMES418200,專題研究四Undergraduate Research (IV),指導教授,3,4.3,0
10920BMES424200,分子遺傳學Molecular Genetics,"張建文CHANG, CHIEN-WEN",20,3.48,0.82
10920BMES424400,生醫高分子導論Introduction of Biomedical Polymer,"胡尚秀HU, SHANG-HSIU",30,4.1,0.32
10920BMES432200,全球暖化與環境衝擊Global Warming and Environmental Impact,"鍾堅CHUNG, CHIEN",70,3.56,0.65
10920BMES500000,專題演講Colloquium,"劉耕谷LIU, KENG-KU許靖涵HSU, CHING-HAN",109,4.3,0
10920BMES511201,書報討論-分子生醫工程與材料Seminar：Molecular Biomedical Engineering and Materials,"劉耕谷LIU, KENG-KU",31,4.3,0
10920BMES511203,書報討論-生醫影像工程Seminar：Biomedical Imaging Engineering,"許靖涵HSU, CHING-HAN",21,4,0
10920BMES512200,碩士班專題研究二MS Graduate Research (II),指導教授,50,4.23,0.13
10920BMES522100,生醫光電基礎Fundamentals of Biophotonics,"陳之碩CHEN, CHI-SHUO",11,3.73,0.46
10920BMES525100,藥物控制釋放Drug Controlled Release,"邱信程CHIU, HSIN-CHENG",13,4.09,0.25
10920BMES526100,奈米生醫導論Introduction to Nanobiotechnology,"許志楧HSU, CHIH-YING",8,3.93,0.25
10920BMES526600,生醫高分子應用Polymer for Bio-Applications,"胡尚秀HU, SHANG-HSIU",28,3.89,0.43
10920BMES527400,生醫流行病與環境毒理學Biomedical Epidemiology and Environmental Toxicology,"莊淳宇CHUANG, CHUN-YU",8,3.44,0.58
10920BMES528400,分子影像藥物Molecular Imaging Pharmaceuticals,"張智偉CHANG, CHIH-WEI",31,3.93,0.35
10920BMES542400,幹細胞與組織工程Stem Cell and Tissue Engineering,"張建文CHANG, CHIEN-WEN",25,3.87,0.21
10920BMES545600,臨床需求研發與生醫創新專題Biodesign for clinical unmet need,"陳自諒CHEN, TZU-LIANG阮春榮JUAN, CHUN-JUNG",6,4.05,0.21
10920BMES546600,數位生物醫學顯微影像技術Digital biomedical microscopy technology,"朱麗安CHU, LI-AN",21,4.13,0.24
10920BMES547500,深度學習之生醫影像分析Deep Learning in Biomedical Image Analysis,"許靖涵HSU, CHING-HAN",42,3.98,0.72
10920BMES611201,專題書報討論-分子生醫工程與材料Seminar：Molecular Biomedical Engineering and Materials,"劉耕谷LIU, KENG-KU",24,4.3,0
10920BMES611203,專題書報討論-生醫影像工程Seminar：Biomedical Imaging Engineering,"許靖涵HSU, CHING-HAN",13,4,0
10920BMES626300,放射化學特論Special Topics in Radiochemistry,"俞鐘山YU, CHUNG-SHAN",7,3.86,0.53
10920BMES711200,專題書報討論Seminar,"李亦淇LEE, I-CHI",20,3.95,0.35
10920BMES712200,博士班專題研究二PhD Graduate Research (II),指導教授,11,4.19,0.19
