課號 Course ID,資訊 Information,備註 Note,系所 Department,通識 GE,"選上機率
Chance","重設
Reset",課程 Course,教室大樓 Building,時間 Time,授課語言 Language,加簽 Extra Enrollment
"<a href=""http://3.39.148.46/gpa-record/?table_filter=AES5100"" rel=""noopener"" target=""_blank"">AES 510000</a>
專題演講
Colloquium","<人限 Limit / 新生保留 New Only>
55 / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
40 / --
<學分數 Credit unit>
0
<授課語言 Language>
中文 ZH
<教師 Instructor>
<a href=""http://3.39.148.46/gpa-record/?table_filter=21555211332039987856772736978727985"" rel=""noopener"" target=""_blank"">吳劍侯	WU, CHIEN-HOU</a>
<教室 Room & 時間 Time>
BMES醫環301	W7W8
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
--
<限制 Limitation>
限分環所,環境博士學程
<擋修 Prerequisite>
--
<專長 Speciality>
--
<學程 Program>
--
<必選修 Required or Elective>
分環所111M必修
",AES  分環所,--,--,,AES5100,BMES醫環,W7W8,中文 ZH,O 接受 Allowed
"<a href=""http://3.39.148.46/gpa-record/?table_filter=AES5101"" rel=""noopener"" target=""_blank"">AES 510100</a>
碩士班專題研究
MS Graduate Research","<人限 Limit / 新生保留 New Only>
-- / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
-- / --
<學分數 Credit unit>
1
<授課語言 Language>
中文 ZH
<教師 Instructor>
<a href=""http://3.39.148.46/gpa-record/?table_filter=25351235662594525480"" rel=""noopener"" target=""_blank"">指導教授	</a>
<教室 Room & 時間 Time>
--","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
指導教授限分環所教師
<限制 Limitation>
限分環所碩士班2年級
<擋修 Prerequisite>
--
<專長 Speciality>
--
<學程 Program>
--
<必選修 Required or Elective>
分環所111M必修
",AES  分環所,--,--,,AES5101,--,--,中文 ZH,O 接受 Allowed
"<a href=""http://3.39.148.46/gpa-record/?table_filter=AES5111"" rel=""noopener"" target=""_blank"">AES 511100</a>
書報討論
Seminar","<人限 Limit / 新生保留 New Only>
55 / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
55 / --
<學分數 Credit unit>
1
<授課語言 Language>
中文 ZH
<教師 Instructor>
<a href=""http://3.39.148.46/gpa-record/?table_filter=21555211332039987856772736978727985"" rel=""noopener"" target=""_blank"">吳劍侯	WU, CHIEN-HOU</a>
<教室 Room & 時間 Time>
BMES醫環419	W5W6
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
限分環所碩一學生可選
<限制 Limitation>
限分環所碩士班1年級
<擋修 Prerequisite>
--
<專長 Speciality>
--
<學程 Program>
--
<必選修 Required or Elective>
分環所111M必修
",AES  分環所,--,--,,AES5111,BMES醫環,W5W6,中文 ZH,O 接受 Allowed
"<a href=""http://3.39.148.46/gpa-record/?table_filter=AES5201"" rel=""noopener"" target=""_blank"">AES 520100</a>
環境分析化學
Environmental Analytical Chemistry","<人限 Limit / 新生保留 New Only>
-- / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
-- / --
<學分數 Credit unit>
3
<授課語言 Language>
中文 ZH
<教師 Instructor>
<a href=""http://3.39.148.46/gpa-record/?table_filter=40643370572687572856578718985706978"" rel=""noopener"" target=""_blank"">黃郁棻	HUANG, YU-FEN</a>
<教室 Room & 時間 Time>
BMES醫環501	R5R6R7
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
--
<限制 Limitation>
--
<擋修 Prerequisite>
--
<專長 Speciality>
環境科技學程(二)
<學程 Program>
--
<必選修 Required or Elective>
分環所111M必修/原科院學士班108B選修
",AES  分環所,--,--,,AES5201,BMES醫環,R5R6R7,中文 ZH,O 接受 Allowed
"<a href=""http://3.39.148.46/gpa-record/?table_filter=AES5203"" rel=""noopener"" target=""_blank"">AES 520300</a>
環境化學
Environment Chemistry","<人限 Limit / 新生保留 New Only>
-- / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
-- / --
<學分數 Credit unit>
3
<授課語言 Language>
英文 EN
<教師 Instructor>
<a href=""http://3.39.148.46/gpa-record/?table_filter=3389129790234336879797871828569896578"" rel=""noopener"" target=""_blank"">董瑞安	DOONG, RUEY-AN</a>
<教室 Room & 時間 Time>
BMES醫環501	M6M7F3F4
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
本課程上150分鐘，其餘時間由教授視情形彈性運用
<限制 Limitation>
--
<擋修 Prerequisite>
--
<專長 Speciality>
環境科技學程(二)
<學程 Program>
--
<必選修 Required or Elective>
分環所111M必修/原科院學士班108B必修
",AES  分環所,--,--,,AES5203,BMES醫環,M6M7F3F4,英文 EN,O 接受 Allowed
"<a href=""http://3.39.148.46/gpa-record/?table_filter=AES5204"" rel=""noopener"" target=""_blank"">AES 520400</a>
生態與健康
Ecohealth","<人限 Limit / 新生保留 New Only>
-- / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
-- / --
<學分數 Credit unit>
3
<授課語言 Language>
中文 ZH
<教師 Instructor>
<a href=""http://3.39.148.46/gpa-record/?table_filter=26954271932686289657871837285836978"" rel=""noopener"" target=""_blank"">楊樹森	YANG, SHU-SEN</a>
<教室 Room & 時間 Time>
BMES醫環717	R2R3R4
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
--
<限制 Limitation>
--
<擋修 Prerequisite>
--
<專長 Speciality>
--
<學程 Program>
--
<必選修 Required or Elective>
分環所111M必修
",AES  分環所,--,--,,AES5204,BMES醫環,R2R3R4,中文 ZH,O 接受 Allowed
"<a href=""http://3.39.148.46/gpa-record/?table_filter=AES5302"" rel=""noopener"" target=""_blank"">AES 530200</a>
表面分析技術
Surface Analysis Techniques","<人限 Limit / 新生保留 New Only>
-- / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
-- / --
<學分數 Credit unit>
3
<授課語言 Language>
英文 EN
<教師 Instructor>
<a href=""http://3.39.148.46/gpa-record/?table_filter=2160823376212206772798584838567727378"" rel=""noopener"" target=""_blank"">周子勤	CHOU, TSU-CHIN</a>
<教室 Room & 時間 Time>
BMES醫環618	W2W3W4
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
--
<限制 Limitation>
--
<擋修 Prerequisite>
--
<專長 Speciality>
--
<學程 Program>
--
<必選修 Required or Elective>
分環所111M選修/原科院學士班108B選修
",AES  分環所,--,--,,AES5302,BMES醫環,W2W3W4,英文 EN,O 接受 Allowed
"<a href=""http://3.39.148.46/gpa-record/?table_filter=AES5404"" rel=""noopener"" target=""_blank"">AES 540400</a>
分子光譜學
Molecular Spectroscopy","<人限 Limit / 新生保留 New Only>
-- / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
-- / --
<學分數 Credit unit>
3
<授課語言 Language>
中文 ZH
<教師 Instructor>
<a href=""http://3.39.148.46/gpa-record/?table_filter=2160823376212206772798584838567727378"" rel=""noopener"" target=""_blank"">周子勤	CHOU, TSU-CHIN</a>
<教室 Room & 時間 Time>
BMES醫環501	M2M3M4
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
--
<限制 Limitation>
--
<擋修 Prerequisite>
--
<專長 Speciality>
--
<學程 Program>
--
<必選修 Required or Elective>
分環所111M選修
",AES  分環所,--,--,,AES5404,BMES醫環,M2M3M4,中文 ZH,O 接受 Allowed
"<a href=""http://3.39.148.46/gpa-record/?table_filter=AES5502"" rel=""noopener"" target=""_blank"">AES 550200</a>
當代環境醫學特論一
Specific Topic for Contemporary Environmental Medicine (I)","<人限 Limit / 新生保留 New Only>
0 / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
0 / --
<學分數 Credit unit>
1
<授課語言 Language>
中文 ZH
<教師 Instructor>
<a href=""http://3.39.148.46/gpa-record/?table_filter=21608311682356067727985728373856772856578"" rel=""noopener"" target=""_blank"">周秀專	CHOU, HSIU-CHUAN</a>
<教室 Room & 時間 Time>
BMES醫環105	M2
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
需與老師討論後加簽選課
<限制 Limitation>
--
<擋修 Prerequisite>
--
<專長 Speciality>
--
<學程 Program>
--
<必選修 Required or Elective>
分環所111M選修
",AES  分環所,--,--,,AES5502,BMES醫環,M2,中文 ZH,O 接受 Allowed
"<a href=""http://3.39.148.46/gpa-record/?table_filter=AES5701"" rel=""noopener"" target=""_blank"">AES 570100</a>
廢棄物與處理
Waste Management and Treatment","<人限 Limit / 新生保留 New Only>
-- / 0
<剩餘名額 Spots AVL / 待亂數 Pending>
-- / --
<學分數 Credit unit>
3
<授課語言 Language>
中文 ZH
<教師 Instructor>
<a href=""http://3.39.148.46/gpa-record/?table_filter=2957931481260418765787167728570657871"" rel=""noopener"" target=""_blank"">王竹方	WANG, CHU-FANG</a>
<教室 Room & 時間 Time>
BMES醫環717	T2T3T4
","<加簽 Extra Enrollment>
O 接受 Allowed
<備註 Memo>
--
<限制 Limitation>
--
<擋修 Prerequisite>
--
<專長 Speciality>
環境科技學程(二)
<學程 Program>
(跨領域)能源科技與永續社會學分學程/(跨領域)先進能源研究生學分學程
<必選修 Required or Elective>
分環所111M選修/原科院學士班108B選修/核工所111D選修/核工所111M選修
",AES  分環所,--,--,,AES5701,BMES醫環,T2T3T4,中文 ZH,O 接受 Allowed
