0,1,2,3,4,5
11010AES 450600,應用生態學Applied Ecology,"楊樹森YANG, SHU-SEN",9,3.89,0.3
11010AES 510000,專題演講Colloquium,"周子勤CHOU, TSU-CHIN",40,3.84,0.19
11010AES 510100,碩士班專題研究MS Graduate Research,指導教授,15,4.19,0.26
11010AES 511100,書報討論Seminar,"周子勤CHOU, TSU-CHIN",22,3.85,0.32
11010AES 520100,環境分析化學Environmental Analytical Chemistry,"黃郁棻HUANG, YU-FEN",20,3.65,0.5
11010AES 520300,環境化學Environment Chemistry,"董瑞安DOONG, RUEY-AN",31,3.19,1.14
11010AES 530200,表面分析技術Surface Analysis Techniques,"周子勤CHOU, TSU-CHIN",10,3.73,0.48
11010AES 530300,環境微生物檢驗分析技術Inspection and examination technology of environmental microorganisms,"李清福LEE, CHING-FU",4,3.58,0.49
11010AES 540500,空氣懸浮微粒特性分析Aerosol Characterization and Measurement Techniques,"林采吟LIN, TSAI-YIN",10,3.96,0.27
11010AES 550200,當代環境醫學特論一Specific Topic for Contemporary Environmental Medicine (I),"周秀專CHOU, HSIU-CHUAN",7,3.47,1.43
11010AES 560400,環境品質與生物指標Envitronmental Quality and Bioindicator,"楊樹森YANG, SHU-SEN",5,3.8,0.28
11010AES 570100,廢棄物與處理Waste Management and Treatment,"王竹方WANG, CHU-FANG",51,3.85,0.31
11010AES 611100,專題書報討論Seminar,"周子勤CHOU, TSU-CHIN",21,3.91,0.3
11010ANTH651000,文化人類學專題Special Topics in Cultural Anthropology,許瀞文CHING-WEN HSU,14,3.78,0.19
11010ANTH653000,漢人社會與文化Society and Culture of Han Chinese,"方怡潔FANG, I-CHIEH",13,3.88,0.24
11010ANTH653500,中國少數民族Ethnic Minorities in China,"黃樹民HUANG, SHU-MIN劉紹華LIU, SHAO-HUA",4,3.58,0.29
11010ANTH666800,東南亞社會與文化Cultures and Societies of Southeast Asia,"高進榮GALIPEAU, BRENDAN ARTHUR",3,4.3,0
11010ANTH670800,文化資產管理Management in Cultural Property,"臧振華TSANG, CHENG-HWA",14,3.79,0.24
11010ANTH676000,身體與文化Body and Culture,"呂玫鍰LU, MEI-HUAN",2,4,0
11010ANTH677100,陶瓷與世界史研究專題Ceramics and World History,謝艾倫ELLEN HSIEH,9,3.91,0.35
11010ANTH678800,文化人類學田野實習Fieldwork Training,"李威宜LEE, WEI-I",7,3.97,0.53
11010ANTH678900,考古學田野實習Archaeological Field Practicum,"邱鴻霖CHIU, HUNG-LIN",3,4.1,0.28
11010ANTH679000,台灣南島研究Austronesian Taiwan,"顧坤惠KU, KUN-HUI",4,3.78,0.13
11010ANTH679100,"主權：許諾、限制與可能性Sovereignties:Promises, Limits,and Possibilities","林浩立LIN, HAO-LI",9,4.13,0.25
11010ANTH679200,民族誌寫作Writing Ethnography,"李威宜LEE, WEI-I",8,3.88,0.32
11010ASTR500100,專題研究--天文教學二Special Topic on Teaching Astronomy (II),指導教授,2,0,0
11010ASTR510000,恒星天文物理學Stellar Astrophysics,"潘國全PAN, KUO-CHUAN",5,3.84,0.45
11010ASTR591000,專題演講一Colloquium (I),何英宏Daniel Harsono,12,4.1,0.25
11010ASTR600700,天文物理的前沿一Frontier of Astrophysics Seminars I,"後藤友嗣GOTO, TOMOTSUGU",10,4.09,0.19
11010ASTR610000,天文觀測Observational Astronomy,江國興ALBERT KONG,10,3.64,0.53
11010ASTR635000,高能天文物理High Energy Astrophysics,"楊湘怡YANG, HSIANG-YI",9,3.78,0.53
11010ASTR640000,宇宙論Cosmology,"安德魯˙古柏COOPER, ANDREW PAUL",5,3.78,0.64
11010BAI 700100,統計與機器學習概論一Introduction of Statistics and Machine Learning (I),"張筱涵CHANG, HSIAO-HAN楊立威YANG, LEE-WEI洪樂文YAO-WIN HONG李祈均LEE, CHI-CHUN",15,3.27,0.66
11010BAI 700300,專題演講Colloquium,"楊立威YANG, LEE-WEI李祈均LEE, CHI-CHUN",3,4.1,0.14
11010BAI 700600,實驗輪轉一Lab Rotation (I),"楊立威YANG, LEE-WEI",1,4,0
11010BME 400100,專題研究Undergraduate Research,指導教授,7,4.26,0.11
11010BME 500400,書報討論Seminar,"陳韻晶CHEN, YUN-CHING",46,3.85,0.29
11010BME 500700,生醫材料特性分析Analytical and Sensing Technologies in Biomedical Sciences,"萬德輝WAN, DE-HUI",10,3.96,0.46
11010BME 500800,癌症生物學與治療Cancer Biology and Therapy,"陳韻晶CHEN, YUN-CHING",24,4.08,0.34
11010BME 502200,電化學感測器Electrochemical Sensor,"林宗宏LIN, ZONG-HONG",18,4.02,0.21
11010BME 502400,奈米生醫材料Nano-/Bio-materials,"鄭兆珉CHENG, CHAO-MIN",4,4.3,0
11010BME 502600,醫療器材設計與開發實務Practical Skills of the Design and Development of Medical Devices,"王明哲WANG, MING-CHE",30,4.1,0.22
11010BME 503300,高等生物電子材料Advanced Bioelectronics Materials,"林宗宏LIN, ZONG-HONG",15,4.06,0.22
11010BME 503900,應用細胞生物工程學Applied Cellular Bioengineering,"黃玠誠HUANG, CHIEH-CHENG",31,4.15,0.15
11010BME 504000,金屬生物醫藥與生醫材料Metal-based biomedicine and biomaterials,"魯才德LU, TSAI-TE",18,3.68,0.48
