"學期
Semester","課號
CourseID","課名
Course Title","教師
Instructor","選課人數
Enrollment Count","平均GPA
Average GPA","標準差
Standard Deviation",course,instructor_ref
109上,AES 510000,"專題演講
Colloquium","吳劍侯WU, CHIEN-HOU",38,4.18,0.35,AES5100,21555211332039987856772736978727985
109上,AES 510100,"碩士班專題研究
MS Graduate Research",指導教授,34,4.02,0.27,AES5101,25351235662594525480
109上,AES 511100,"書報討論
Seminar","吳劍侯WU, CHIEN-HOU",19,3.6,0.45,AES5111,21555211332039987856772736978727985
109上,AES 520100,"環境分析化學
Environmental Analytical Chemistry","黃郁棻HUANG, YU-FEN",27,3.7,0.82,AES5201,40643370572687572856578718985706978
109上,AES 520400,"生態與健康
Ecohealth","楊樹森YANG, SHU-SEN
周秀專CHOU, HSIU-CHUAN",17,3.63,0.44,AES5204,2695427193268628965787183728583697821608311682356067727985728373856772856578
109上,AES 530100,"空氣品質量測
Air quality characterization","林采吟LIN, TSAI-YIN",19,3.91,0.33,AES5301,26519373192153576737884836573897378
109上,AES 530200,"表面分析技術
Surface Analysis Techniques","周子勤CHOU, TSU-CHIN",6,3.85,0.15,AES5302,2160823376212206772798584838567727378
109上,AES 530300,"環境微生物檢驗分析技術
Inspection and examination technology of environmental microorganisms","李清福LEE, CHING-FU",12,3.99,0.29,AES5303,26446281653111976696967727378717085
109上,AES 550200,"當代環境醫學特論一
Specific Topic for Contemporary Environmental Medicine (I)","周秀專CHOU, HSIU-CHUAN",5,4.06,0.12,AES5502,21608311682356067727985728373856772856578
109上,AES 570100,"廢棄物與處理
Waste Management and Treatment","王竹方WANG, CHU-FANG",42,3.73,0.68,AES5701,2957931481260418765787167728570657871
109上,AES 570400,"環境奈米與水處理
Environmental Nanotechnology for Water Treatment","董瑞安DOONG, RUEY-AN",13,4.07,0.21,AES5704,3389129790234336879797871828569896578
109上,AES 611100,"專題書報討論
Seminar","吳劍侯WU, CHIEN-HOU",19,3.93,0.26,AES6111,21555211332039987856772736978727985
109上,ANTH 651000,"文化人類學專題
Special Topics in Cultural Anthropology","呂玫鍰LU, MEI-HUAN",12,3.93,0.25,ANTH6510,215702961137744768577697372856578
109上,ANTH 653000,"漢人社會與文化
Society and Culture of Han Chinese","方怡潔FANG, I-CHIEH",9,3.81,0.35,ANTH6530,26041246092850070657871736772736972
109上,ANTH 654100,"文化田野實習
Fieldwork Training","林浩立LIN, HAO-LI",5,4.0,0.27,ANTH6541,2651928009314357673787265797673
109上,ANTH 670700,"都市人類學
Urban Anthropology",許瀞文CHING-WEN HSU,5,3.94,0.12,ANTH6707,3537728702259916772737871876978728385
109上,ANTH 674200,"台灣史前文化
Prehistoric culture of Taiwan","邱鴻霖CHIU, HUNG-LIN",6,4.15,0.15,ANTH6742,3704140251386786772738572857871767378
109上,ANTH 675800,"永續社區發展
Sustainable Community Development","林浩立LIN, HAO-LI",8,3.33,1.36,ANTH6758,2651928009314357673787265797673
109上,ANTH 676600,"想像人類學
Anthropology of Imaginary","李威宜LEE, WEI-I",16,3.76,0.5,ANTH6766,26446230412345276696987697373
109上,ANTH 677000,"考古田野實習
Field Archaeology",謝艾倫ELLEN HSIEH,6,4.0,0.0,ANTH6770,35613334062052369767669787283736972
109上,ANTH 678000,"公眾考古學
Public Archaeology",謝艾倫ELLEN HSIEH,13,4.07,0.21,ANTH6780,35613334062052369767669787283736972
109上,ANTH 678100,"食物人類學
Food, Culture, and Society","高進榮GALIPEAU, BRENDAN ARTHUR",3,3.57,0.61,ANTH6781,396403691427054716576738069658566826978686578658284728582
109上,ASTR 510000,"恒星天文物理學
Stellar Astrophysics","潘國全PAN, KUO-CHUAN",7,3.49,0.89,ASTR5100,2850422283208408065787585796772856578
109上,ASTR 591000,"專題演講一
Colloquium (I)","楊湘怡YANG, HSIANG-YI",13,3.72,0.41,ASTR5910,269542824824609896578717283736578718973
109上,ASTR 600600,"天文文獻研討
Literature Review of Astronomy Research","後藤友嗣GOTO, TOMOTSUGU",8,4.3,0.0,ASTR6006,2446034276214512198771798479847977798483857185
109上,ASTR 610000,"天文觀測
Observational Astronomy","賴詩萍LAI, SHIH-PING",13,3.99,0.26,ASTR6100,3608435433338057665738372737280737871
109上,ASTR 630000,"電波天文學
Radio Astronomy","陳惠茹CHEN, HUEI-RU",14,3.69,0.68,ASTR6300,38515248003359367726978728569738285
109上,ASTR 640000,"宇宙論
Cosmology","安德魯˙古柏COOPER, ANDREW PAUL",12,3.54,0.42,ASTR6400,234332450339791214762657567797980698265786882698780658576
109上,BME 400100,"專題研究
Undergraduate Research",指導教授,10,4.3,0.0,BME4001,25351235662594525480
109上,BME 500400,"書報討論
Seminar","萬德輝WAN, DE-HUI",35,4.05,0.17,BME5004,3383624503366378765786869728573
