"學期
Semester","課號
CourseID","課名
Course Title","教師
Instructor","選課人數
Enrollment Count","平均GPA
Average GPA","標準差
Standard Deviation",course,instructor_ref
110下,AES 510000,"專題演講
Colloquium","黃郁棻HUANG, YU-FEN",38,3.69,0.55,AES5100,40643370572687572856578718985706978
110下,AES 510100,"碩士班專題研究
MS Graduate Research",指導教授,14,4.26,0.11,AES5101,25351235662594525480
110下,AES 511100,"書報討論
Seminar","黃郁棻HUANG, YU-FEN",14,4.19,0.14,AES5111,40643370572687572856578718985706978
110下,AES 520200,"綠色科技
Green technology","周子勤CHOU, TSU-CHIN",10,3.33,1.17,AES5202,2160823376212206772798584838567727378
110下,AES 520500,"環境生物技術
Environmental Biotechnology","周秀專CHOU, HSIU-CHUAN",13,4.09,0.25,AES5205,21608311682356067727985728373856772856578
110下,AES 530100,"空氣品質量測
Air quality characterization","林采吟LIN, TSAI-YIN",9,3.89,0.3,AES5301,26519373192153576737884836573897378
110下,AES 550500,"環境毒物學
Environmental Toxicology","董瑞安DOONG, RUEY-AN",12,4.05,0.27,AES5505,3389129790234336879797871828569896578
110下,AES 560100,"生物環境復育
Environmental Bioremediation","李清福LEE, CHING-FU",7,3.9,0.29,AES5601,26446281653111976696967727378717085
110下,AES 560300,"當代環境醫學特論二
Specific Topic for Contemporary Environmental Medicine (II)","周秀專CHOU, HSIU-CHUAN",4,4.3,0.0,AES5603,21608311682356067727985728373856772856578
110下,AES 580100,"環境奈米科學
Environmental Nano-science","王竹方WANG, CHU-FANG",26,3.79,0.42,AES5801,2957931481260418765787167728570657871
110下,AES 580200,"觸媒產氫技術
Technology of Catalysis Hydrogen Generation","周子勤CHOU, TSU-CHIN",3,3.77,0.56,AES5802,2160823376212206772798584838567727378
110下,AES 611100,"專題書報討論
Seminar","吳劍侯WU, CHIEN-HOU",24,3.87,0.35,AES6111,21555211332039987856772736978727985
110下,ANTH 651600,"性別人類學
The Anthropology of Gender","呂玫鍰LU, MEI-HUAN",7,3.96,0.25,ANTH6516,215702961137744768577697372856578
110下,ANTH 674500,"生命歷程與全球化
Life course and globalization","方怡潔FANG, I-CHIEH",8,3.85,0.21,ANTH6745,26041246092850070657871736772736972
110下,ANTH 675300,"水下考古學
underwater archaeology","臧振華TSANG, CHENG-HWA",3,4.0,0.0,ANTH6753,33255253913377584836578716772697871728765
110下,ANTH 675900,"公民與政治生活
Anthropological Studies of Citizenship and Political Life",許瀞文CHING-WEN HSU,6,3.68,0.33,ANTH6759,3537728702259916772737871876978728385
110下,ANTH 676700,"考古學方法論
Archaeological Methodology",謝艾倫ELLEN HSIEH,4,3.78,0.13,ANTH6767,35613334062052369767669787283736972
110下,ANTH 677700,"考古遺物測繪與攝影方法
Drawing and Photography Techniques for Archaeological Remains","邱鴻霖CHIU, HUNG-LIN",15,3.97,0.35,ANTH6777,3704140251386786772738572857871767378
110下,ANTH 679300,"大洋洲民族誌
Ethnographies of Oceania","林浩立LIN, HAO-LI",3,3.9,0.14,ANTH6793,2651928009314357673787265797673
110下,ASTR 530000,"星系天文學
Galactic Astronomy","安德魯˙古柏COOPER, ANDREW PAUL",5,3.72,0.63,ASTR5300,234332450339791214762657567797980698265786882698780658576
110下,ASTR 592000,"專題演講二
Colloquium (II)",何英宏Daniel Harsono,14,3.66,0.82,ASTR5920,20309335212343968971101051011087297114115111110111
110下,ASTR 600800,"天文物理的前沿二
Frontier of Astrophysics Seminars II","後藤友嗣GOTO, TOMOTSUGU",5,4.3,0.0,ASTR6008,2446034276214512198771798479847977798483857185
110下,ASTR 620000,"天文輻射物理
Astrophysical Radiative Processes","張祥光CHANG, HSIANG-KUANG",7,4.09,0.14,ASTR6200,24373310772080967726578717283736578717585657871
110下,ASTR 650000,"星際介質
Interstellar Medium","賴詩萍LAI, SHIH-PING",11,4.13,0.29,ASTR6500,3608435433338057665738372737280737871
110下,ASTR 660000,"計算天文物理
Computational Astrophysics","潘國全PAN, KUO-CHUAN",8,3.29,1.43,ASTR6600,2850422283208408065787585796772856578
110下,BAI 700400,"科學
Science","楊立威YANG, LEE-WEI",5,4.24,0.12,BAI7004,26954314352304189657871766969876973
110下,BAI 700500,"統計與機器學習概論二
Introduction of Statistics and Machine Learning (II)","李祈均LEE, CHI-CHUN",3,4.0,0.24,BAI7005,26446310482234376696967727367728578
110下,BAI 700700,"實驗輪轉二
Lab Rotation (II)","羅中泉LO, CHUNG-CHUAN
張筱涵CHANG, HSIAO-HAN
朱麗安CHU, LI-AN",2,4.3,0.0,BAI7007,3264520013278497679677285787167728565782437331601280856772657871728373657972657826417405992343367728576736578
110下,BME 400100,"專題研究
Undergraduate Research",指導教授,5,4.3,0.0,BME4001,25351235662594525480
110下,BME 500400,"書報討論
Seminar","魯才德LU, TSAI-TE",35,4.06,0.21,BME5004,3979125165245037685848365738469
110下,BME 500500,"奈米材料化學
Nanomaterial Chemistry","萬德輝WAN, DE-HUI",10,3.81,0.45,BME5005,3383624503366378765786869728573
110下,BME 501800,"先進生物顯影技術
Advanced Bioimaging Technologies","林宗宏LIN, ZONG-HONG",10,4.03,0.25,BME5018,2651923447234397673789079787172797871
110下,BME 503000,"高等醫材分析技術
Advanced Analytical Technologies","萬德輝WAN, DE-HUI",7,4.0,0.23,BME5030,3383624503366378765786869728573
110下,BME 503100,"重點照護檢驗
Point-of-Care Diagnostics","鄭兆珉CHENG, CHAO-MIN",5,4.3,0.0,BME5031,371652080629641677269787167726579777378
110下,BME 503200,"再生醫學與組織工程
Regenerative medicine and tissue engineering","黃玠誠HUANG, CHIEH-CHENG",32,4.2,0.14,BME5032,406432960035488728565787167727369726772697871
110下,BME 503400,"分子生醫影像導論
Introduction to Molecular Imaging","魯才德LU, TSAI-TE",9,3.86,0.27,BME5034,3979125165245037685848365738469
110下,BME 503500,"醫療器材進階法規實作練習
Workshop Practice on Medical Device Regulations","王明哲WANG, MING-CHE",10,4.3,0.0,BME5035,2957926126217468765787177737871677269
110下,BME 504300,"磁性生醫材料
Magnetic Biomaterial","魯才德LU, TSAI-TE",7,4.0,0.28,BME5043,3979125165245037685848365738469
110下,BME 504700,"生醫感測數值統計分析
Biomedical sensing technology and statistical analysis","林幸瑩LIN, HSING-YING",3,4.3,0.0,BME5047,265192418429801767378728373787189737871
110下,BMES 112200,"生命科學導論
Introduction to Life Science","莊淳宇CHUANG, CHUN-YU",44,3.02,1.06,BMES1122,336742814723431677285657871677285788985
110下,BMES 211200,"工程數學二
Engineering Mathematics II","劉耕谷LIU, KENG-KU",41,3.16,1.19,BMES2112,211293278935895767385756978717585
110下,BMES 223200,"電子學二
Electronics II","葉秩光YEH, CHIH-KUANG",27,3.85,0.61,BMES2232,338653120920809896972677273727585657871
110下,BMES 225200,"有機化學二
Organic Chemistry (II)","俞鐘山YU, CHUNG-SHAN",16,3.01,1.2,BMES2252,2044637912236658985677285787183726578
110下,BMES 232200,"分析化學一
Analytical Chemistry (I)","李亦淇LEE, I-CHI",11,3.53,0.66,BMES2322,26446201342810376696973677273
