科號,課程中文名稱,課程英文名稱,學分數,人限,新生保留人數,通識對象,通識類別,授課語言,備註,停開註記,教室與上課時間,授課教師,擋修說明,課程限制說明,第一二專長對應,學分學程對應,不可加簽說明,必選修說明
11110AES 510000,專題演講,Colloquium,0,55,0, ,,中, ,,"BMES醫環301	W7W8
","吳劍侯	WU, CHIEN-HOU
",,"限分環所,環境博士學程",,,,分環所111M  必修	
11110AES 510100,碩士班專題研究,MS Graduate Research,1,,0, ,,中,指導教授限分環所教師,,,"指導教授	
",,限分環所碩士班2年級,,,,分環所111M  必修	
11110AES 511100,書報討論,Seminar,1,55,0, ,,中,限分環所碩一學生可選,,"BMES醫環419	W5W6
","吳劍侯	WU, CHIEN-HOU
",,限分環所碩士班1年級,,,,分環所111M  必修	
11110AES 520100,環境分析化學,Environmental Analytical Chemistry,3,,0, ,,中, ,,"BMES醫環501	R5R6R7
","黃郁棻	HUANG, YU-FEN
",,,環境科技學程(第二專長),,,分環所111M  必修	原科院學士班108B  選修	
11110AES 520300,環境化學,Environment Chemistry,3,,0, ,,英,本課程上150分鐘，其餘時間由教授視情形彈性運用,,"BMES醫環501	M6M7F3F4
","董瑞安	DOONG, RUEY-AN
",,,環境科技學程(第二專長),,,分環所111M  必修	原科院學士班108B  必修	
11110AES 520400,生態與健康,Ecohealth,3,,0, ,,中, ,,"BMES醫環717	R2R3R4
","周秀專	CHOU, HSIU-CHUAN
楊樹森	YANG, SHU-SEN
",,,,,,分環所111M  必修	
11110AES 530200,表面分析技術,Surface Analysis Techniques,3,,0, ,,英, ,,"BMES醫環618	W2W3W4
","周子勤	CHOU, TSU-CHIN
",,,,,,分環所111M  選修	原科院學士班108B  選修	
11110AES 540400,分子光譜學,Molecular Spectroscopy,3,,0, ,,中, ,,"BMES醫環501	M2M3M4
","周子勤	CHOU, TSU-CHIN
",,,,,,分環所111M  選修	
11110AES 550200,當代環境醫學特論一,Specific Topic for Contemporary Environmental Medicine (I),1,0,0, ,,中,需與老師討論後加簽選課,,"BMES醫環105	M2
","周秀專	CHOU, HSIU-CHUAN
",,,,,,分環所111M  選修	
11110AES 570100,廢棄物與處理,Waste Management and Treatment,3,,0, ,,中, ,,"BMES醫環717	T2T3T4
","王竹方	WANG, CHU-FANG
",,,環境科技學程(第二專長),(跨領域)能源科技與永續社會學分學程/(跨領域)先進能源研究生學分學程,,分環所111M  選修	原科院學士班108B  選修	核工所111D  選修	核工所111M  選修	
11110AES 610000,論文研究,Thesis,0,,0, ,,中,限分環所碩二以上,,,"指導教授	
",,排除分環所碩士班2年級,,,,分環所111M  必修	
11110AES 611100,專題書報討論,Seminar,1,55,0, ,,英,需先修畢書報討論,,"BMES醫環501	W5W6
","楊樹森	YANG, SHU-SEN
",,"限分環所,環境博士學程",,,,分環所111M  必修	
11110AIIM500100,產學實務專題一,Special Topics on Industrial Practice I,2,,0, ,,中,本課程由專班主任開設、指導教授評定成績,,,"指導教授	
",,限AI智造暨聯網產碩專班,,,,AI智造暨聯網產碩專班111M  必修	
11110AMEV500100,產業實務專題(一), ,2,,0, ,,中,由專班主任開設，指導教授評分,,,"指導教授	
",,限電動載具先進製造產碩專班,,,,電動載具先進製造產碩專班111M  必修	
11110ANTH500000,論文研究,Thesis,0,,0, ,,中,限人類所碩三以上同學，Selectable after successfully completing second year's coursework,,,"指導教授	
",,排除碩士班1年級2年級,,,,人類所111M  必修	
11110ANTH651000,文化人類學專題,Special Topics in Cultural Anthropology,3,,0, ,,中,本課程為16 週課程,,"HSS人社C304	R2R3R4
","許&#28702;文	CHING-WEN HSU
",,排除大學部1年級2年級3年級4年級,,,,人類所111D  選修	人類所111M  必修	台研教在職學位班111P  選修	
11110ANTH672400,人類學的社群研究,Anthropology of Community Studies,3,,0, ,,中,本課程為16 週課程,,"HSS人社C304	T6T7T8
","呂玫鍰	LU, MEI-HUAN
",,排除大學部1年級2年級3年級,,,,人類所111D  選修	人類所111M  選修	台研教在職學位班111P  選修	
11110ANTH674200,台灣史前文化,Prehistoric culture of Taiwan,3,,0, ,,中, ,,"HSS人社C303	R2R3R4
","邱鴻霖	CHIU, HUNG-LIN
",,排除大學部1年級2年級3年級,,,,人類所111D  選修	人類所111M  選修	台研教在職學位班111P  選修	
11110ANTH674300,當代人類處境專題,Contemporary Human Conditions: Anthropological Perspectives,3,,0, ,,中, ,,"HSS人社C304	F2F3F4
","林浩立	LIN, HAO-LI
",,排除大學部1年級2年級3年級4年級,,,,人類所111D  必修	人類所111M  選修	台研教在職學位班111P  選修	
11110ANTH675700,中國考古學,Chinese Archaeology,3,,0, ,,中, ,,"HSS人社C304	M6M7M8
","臧振華	TSANG, CHENG-HWA
",,排除大學部1年級2年級,,(跨領域)藝術學分學程,,人類所111D  選修	人類所111M  選修	台研教在職學位班111P  選修	
11110ANTH676800,殖民考古學,The Archaeology of Colonialism,3,10,0, ,,中,本課程為16 週課程,,"HSS人社C304	T2T3T4
","謝艾倫	ELLEN HSIEH
",,排除大學部1年級2年級,,,,人類所111D  選修	人類所111M  選修	台研教在職學位班111P  選修	
