課號 Course ID,課程資訊 Course Info,註冊資訊 Enrollment Info,其他 Other,系所 Department,通識 GE,"選上機率
Chance",教室大樓 Building,授課語言 Language,加簽 Extra Enrollment,課程 Course ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,Monday -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,M1,M2,M3,M4,Mn,M5,M6,M7,M8,M9,Ma,Mb,Mc,Tuesday -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,T1,T2,T3,T4,Tn,T5,T6,T7,T8,T9,Ta,Tb,Tc,Wednesday ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,W1,W2,W3,W4,Wn,W5,W6,W7,W8,W9,Wa,Wb,Wc,Thursday ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,R1,R2,R3,R4,Rn,R5,R6,R7,R8,R9,Ra,Rb,Rc,Friday ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,F1,F2,F3,F4,Fn,F5,F6,F7,F8,F9,Fa,Fb,Fc,Saturday ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,S1,S2,S3,S4,Sn,S5,S6,S7,S8,S9,Sa,Sb,Sc
"<a href=""https://nthucourse.com/gpa-record/?table_filter=AES5100"" rel=""noopener"" target=""_blank"">AES 510000</a>
專題演講
Colloquium","<strong>學分數 Credit unit : </strong>0
<strong>授課語言 Language : </strong>中文 ZH
<strong>教師 Instructor : </strong>
<a href=""https://nthucourse.com/gpa-record/?table_filter=21555211332039987856772736978727985"" rel=""noopener"" target=""_blank"">吳劍侯	WU, CHIEN-HOU</a>
<strong>教室 Room & 時間 Time : </strong>
BMES醫環301	W7W8
","<strong>加簽 Extra Enrollment : </strong>
O 接受 Allowed
<strong>人限 Limit / 新生保留 New Only : </strong>
55 / 0
<strong>剩餘名額 Spots AVL / 待亂數 Pending : </strong>
40 / --
","<strong>備註 Note : </strong>--
<strong>限制 Limitation : </strong>
限分環所,環境博士學程
<strong>擋修 Prerequisite : </strong>--
<strong>專長 Speciality : </strong>--
<strong>學程 Program : </strong>--
<strong>必選修 Required / Elective : </strong>
分環所111M必修
",AES  分環所,--,--,BMES醫環,中文 ZH,O 接受 Allowed,AES 5100 專題演講 Colloquium,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
"<a href=""https://nthucourse.com/gpa-record/?table_filter=AES5101"" rel=""noopener"" target=""_blank"">AES 510100</a>
碩士班專題研究
MS Graduate Research","<strong>學分數 Credit unit : </strong>1
<strong>授課語言 Language : </strong>中文 ZH
<strong>教師 Instructor : </strong>
<a href=""https://nthucourse.com/gpa-record/?table_filter=25351235662594525480"" rel=""noopener"" target=""_blank"">指導教授	</a>
<strong>教室 Room & 時間 Time : </strong>
--","<strong>加簽 Extra Enrollment : </strong>
O 接受 Allowed
<strong>人限 Limit / 新生保留 New Only : </strong>
-- / 0
<strong>剩餘名額 Spots AVL / 待亂數 Pending : </strong>
-- / --
","<strong>備註 Note : </strong>
指導教授限分環所教師
<strong>限制 Limitation : </strong>
限分環所碩士班2年級
<strong>擋修 Prerequisite : </strong>--
<strong>專長 Speciality : </strong>--
<strong>學程 Program : </strong>--
<strong>必選修 Required / Elective : </strong>
分環所111M必修
",AES  分環所,--,--,--,中文 ZH,O 接受 Allowed,AES 5101 碩士班專題研究 MS Graduate Research,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
"<a href=""https://nthucourse.com/gpa-record/?table_filter=AES5111"" rel=""noopener"" target=""_blank"">AES 511100</a>
書報討論
Seminar","<strong>學分數 Credit unit : </strong>1
<strong>授課語言 Language : </strong>中文 ZH
<strong>教師 Instructor : </strong>
<a href=""https://nthucourse.com/gpa-record/?table_filter=21555211332039987856772736978727985"" rel=""noopener"" target=""_blank"">吳劍侯	WU, CHIEN-HOU</a>
<strong>教室 Room & 時間 Time : </strong>
BMES醫環419	W5W6
","<strong>加簽 Extra Enrollment : </strong>
O 接受 Allowed
<strong>人限 Limit / 新生保留 New Only : </strong>
55 / 0
<strong>剩餘名額 Spots AVL / 待亂數 Pending : </strong>
55 / --
","<strong>備註 Note : </strong>
限分環所碩一學生可選
<strong>限制 Limitation : </strong>
限分環所碩士班1年級
<strong>擋修 Prerequisite : </strong>--
<strong>專長 Speciality : </strong>--
<strong>學程 Program : </strong>--
<strong>必選修 Required / Elective : </strong>
分環所111M必修
",AES  分環所,--,--,BMES醫環,中文 ZH,O 接受 Allowed,AES 5111 書報討論 Seminar,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
"<a href=""https://nthucourse.com/gpa-record/?table_filter=AES5201"" rel=""noopener"" target=""_blank"">AES 520100</a>
環境分析化學
Environmental Analytical Chemistry","<strong>學分數 Credit unit : </strong>3
<strong>授課語言 Language : </strong>中文 ZH
<strong>教師 Instructor : </strong>
<a href=""https://nthucourse.com/gpa-record/?table_filter=40643370572687572856578718985706978"" rel=""noopener"" target=""_blank"">黃郁棻	HUANG, YU-FEN</a>
<strong>教室 Room & 時間 Time : </strong>
BMES醫環501	R5R6R7
","<strong>加簽 Extra Enrollment : </strong>
O 接受 Allowed
<strong>人限 Limit / 新生保留 New Only : </strong>
-- / 0
<strong>剩餘名額 Spots AVL / 待亂數 Pending : </strong>
-- / --
","<strong>備註 Note : </strong>--
<strong>限制 Limitation : </strong>--
<strong>擋修 Prerequisite : </strong>--
<strong>專長 Speciality : </strong>
環境科技學程(二)
<strong>學程 Program : </strong>--
<strong>必選修 Required / Elective : </strong>
分環所111M必修/原科院學士班108B選修
",AES  分環所,--,--,BMES醫環,中文 ZH,O 接受 Allowed,AES 5201 環境分析化學 Environmental Analytical Chemistry,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
"<a href=""https://nthucourse.com/gpa-record/?table_filter=AES5203"" rel=""noopener"" target=""_blank"">AES 520300</a>
環境化學
Environment Chemistry","<strong>學分數 Credit unit : </strong>3
<strong>授課語言 Language : </strong>英文 EN
<strong>教師 Instructor : </strong>
<a href=""https://nthucourse.com/gpa-record/?table_filter=3389129790234336879797871828569896578"" rel=""noopener"" target=""_blank"">董瑞安	DOONG, RUEY-AN</a>
<strong>教室 Room & 時間 Time : </strong>
BMES醫環501	M6M7F3F4
","<strong>加簽 Extra Enrollment : </strong>
O 接受 Allowed
<strong>人限 Limit / 新生保留 New Only : </strong>
-- / 0
<strong>剩餘名額 Spots AVL / 待亂數 Pending : </strong>
-- / --
","<strong>備註 Note : </strong>
本課程上150分鐘，其餘時間由教授視情形彈性運用
<strong>限制 Limitation : </strong>--
<strong>擋修 Prerequisite : </strong>--
<strong>專長 Speciality : </strong>
環境科技學程(二)
<strong>學程 Program : </strong>--
<strong>必選修 Required / Elective : </strong>
分環所111M必修/原科院學士班108B必修
",AES  分環所,--,--,BMES醫環,英文 EN,O 接受 Allowed,AES 5203 環境化學 Environment Chemistry,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
"<a href=""https://nthucourse.com/gpa-record/?table_filter=AES5204"" rel=""noopener"" target=""_blank"">AES 520400</a>
生態與健康
Ecohealth","<strong>學分數 Credit unit : </strong>3
<strong>授課語言 Language : </strong>中文 ZH
<strong>教師 Instructor : </strong>
<a href=""https://nthucourse.com/gpa-record/?table_filter=26954271932686289657871837285836978"" rel=""noopener"" target=""_blank"">楊樹森	YANG, SHU-SEN</a>
<strong>教室 Room & 時間 Time : </strong>
BMES醫環717	R2R3R4
","<strong>加簽 Extra Enrollment : </strong>
O 接受 Allowed
<strong>人限 Limit / 新生保留 New Only : </strong>
-- / 0
<strong>剩餘名額 Spots AVL / 待亂數 Pending : </strong>
-- / --
","<strong>備註 Note : </strong>--
<strong>限制 Limitation : </strong>--
<strong>擋修 Prerequisite : </strong>--
<strong>專長 Speciality : </strong>--
<strong>學程 Program : </strong>--
<strong>必選修 Required / Elective : </strong>
分環所111M必修
",AES  分環所,--,--,BMES醫環,中文 ZH,O 接受 Allowed,AES 5204 生態與健康 Ecohealth,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
"<a href=""https://nthucourse.com/gpa-record/?table_filter=AES5302"" rel=""noopener"" target=""_blank"">AES 530200</a>
表面分析技術
Surface Analysis Techniques","<strong>學分數 Credit unit : </strong>3
<strong>授課語言 Language : </strong>英文 EN
<strong>教師 Instructor : </strong>
<a href=""https://nthucourse.com/gpa-record/?table_filter=2160823376212206772798584838567727378"" rel=""noopener"" target=""_blank"">周子勤	CHOU, TSU-CHIN</a>
<strong>教室 Room & 時間 Time : </strong>
BMES醫環618	W2W3W4
","<strong>加簽 Extra Enrollment : </strong>
O 接受 Allowed
<strong>人限 Limit / 新生保留 New Only : </strong>
-- / 0
<strong>剩餘名額 Spots AVL / 待亂數 Pending : </strong>
-- / --
","<strong>備註 Note : </strong>--
<strong>限制 Limitation : </strong>--
<strong>擋修 Prerequisite : </strong>--
<strong>專長 Speciality : </strong>--
<strong>學程 Program : </strong>--
<strong>必選修 Required / Elective : </strong>
分環所111M選修/原科院學士班108B選修
",AES  分環所,--,--,BMES醫環,英文 EN,O 接受 Allowed,AES 5302 表面分析技術 Surface Analysis Techniques,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
"<a href=""https://nthucourse.com/gpa-record/?table_filter=AES5404"" rel=""noopener"" target=""_blank"">AES 540400</a>
分子光譜學
Molecular Spectroscopy","<strong>學分數 Credit unit : </strong>3
<strong>授課語言 Language : </strong>中文 ZH
<strong>教師 Instructor : </strong>
<a href=""https://nthucourse.com/gpa-record/?table_filter=2160823376212206772798584838567727378"" rel=""noopener"" target=""_blank"">周子勤	CHOU, TSU-CHIN</a>
<strong>教室 Room & 時間 Time : </strong>
BMES醫環501	M2M3M4
","<strong>加簽 Extra Enrollment : </strong>
O 接受 Allowed
<strong>人限 Limit / 新生保留 New Only : </strong>
-- / 0
<strong>剩餘名額 Spots AVL / 待亂數 Pending : </strong>
-- / --
","<strong>備註 Note : </strong>--
<strong>限制 Limitation : </strong>--
<strong>擋修 Prerequisite : </strong>--
<strong>專長 Speciality : </strong>--
<strong>學程 Program : </strong>--
<strong>必選修 Required / Elective : </strong>
分環所111M選修
",AES  分環所,--,--,BMES醫環,中文 ZH,O 接受 Allowed,AES 5404 分子光譜學 Molecular Spectroscopy,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
"<a href=""https://nthucourse.com/gpa-record/?table_filter=AES5502"" rel=""noopener"" target=""_blank"">AES 550200</a>
當代環境醫學特論一
Specific Topic for Contemporary Environmental Medicine (I)","<strong>學分數 Credit unit : </strong>1
<strong>授課語言 Language : </strong>中文 ZH
<strong>教師 Instructor : </strong>
<a href=""https://nthucourse.com/gpa-record/?table_filter=21608311682356067727985728373856772856578"" rel=""noopener"" target=""_blank"">周秀專	CHOU, HSIU-CHUAN</a>
<strong>教室 Room & 時間 Time : </strong>
BMES醫環105	M2
","<strong>加簽 Extra Enrollment : </strong>
O 接受 Allowed
<strong>人限 Limit / 新生保留 New Only : </strong>
0 / 0
<strong>剩餘名額 Spots AVL / 待亂數 Pending : </strong>
0 / --
","<strong>備註 Note : </strong>
需與老師討論後加簽選課
<strong>限制 Limitation : </strong>--
<strong>擋修 Prerequisite : </strong>--
<strong>專長 Speciality : </strong>--
<strong>學程 Program : </strong>--
<strong>必選修 Required / Elective : </strong>
分環所111M選修
",AES  分環所,--,--,BMES醫環,中文 ZH,O 接受 Allowed,AES 5502 當代環境醫學特論一 Specific Topic for Contemporary Environmental Medicine (I),O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
"<a href=""https://nthucourse.com/gpa-record/?table_filter=AES5701"" rel=""noopener"" target=""_blank"">AES 570100</a>
廢棄物與處理
Waste Management and Treatment","<strong>學分數 Credit unit : </strong>3
<strong>授課語言 Language : </strong>中文 ZH
<strong>教師 Instructor : </strong>
<a href=""https://nthucourse.com/gpa-record/?table_filter=2957931481260418765787167728570657871"" rel=""noopener"" target=""_blank"">王竹方	WANG, CHU-FANG</a>
<strong>教室 Room & 時間 Time : </strong>
BMES醫環717	T2T3T4
","<strong>加簽 Extra Enrollment : </strong>
O 接受 Allowed
<strong>人限 Limit / 新生保留 New Only : </strong>
-- / 0
<strong>剩餘名額 Spots AVL / 待亂數 Pending : </strong>
-- / --
","<strong>備註 Note : </strong>--
<strong>限制 Limitation : </strong>--
<strong>擋修 Prerequisite : </strong>--
<strong>專長 Speciality : </strong>
環境科技學程(二)
<strong>學程 Program : </strong>
(跨領域)能源科技與永續社會學分學程/(跨領域)先進能源研究生學分學程
<strong>必選修 Required / Elective : </strong>
分環所111M選修/原科院學士班108B選修/核工所111D選修/核工所111M選修
",AES  分環所,--,--,BMES醫環,中文 ZH,O 接受 Allowed,AES 5701 廢棄物與處理 Waste Management and Treatment,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
