"學期
Semester","課號
CourseID","課名
Course Title","教師
Instructor","選課人數
Enrollment Count","平均GPA
Average GPA","標準差
Standard Deviation",course,instructor_ref
109暑,EECS 101000,"邏輯設計
Logic Design","馬席彬MA, HSI-PIN
馮開明FENG, KAI-MING",88,3.13,1.34,EECS1010,39340241092442877657283738073783934238283261267069787175657377737871
109暑,EECS 111100,"計算機程式設計
Introduction to Programming","盧振華LU, CHEN-HUA",41,3.5,1.33,EECS1111,304392539133775768567726978728565
109暑,EECS 301000,"企業實習
Industry Internship",電資院,19,3.38,1.03,EECS3010,386513603938498
109暑,EMBA 508000,"高階主管會計
Advanced Management Accounting","周建宏CHOU, CHIEN-HUNG",47,4.18,0.16,EMBA5080,21608243142343967727985677273697872857871
109暑,EMIM 500400,"人工智慧程式基礎訓練
Python Foundation Course","周志遠CHOU, JERRY",18,4.12,0.18,EMIM5004,216082453536960677279857469828289
109暑,EMIM 500500,"統計分析軟體基礎訓練
Statistical Analysis Using Computer Software","吳建瑋WU, CHIEN-WEI",18,4.07,0.19,EMIM5005,21555243142977187856772736978876973
109暑,HSS 313400,"拉丁美洲史
History of Latin America","李毓中LEE, YU-CHUNG",23,4.1,0.48,HSS3134,26446276032001376696989856772857871
109暑,IEEM 301000,"作業研究一
Operations Research (I)","梁雅鈞LIANG, YA-CHUN",14,2.39,0.73,IEEM3010,2675338597374067673657871896567728578
109暑,IEEM 491000,"生產管理
Production Management","陳子立CHEN, TZU-LI",19,3.64,0.65,IEEM4910,385152337631435677269788490857673
109暑,IEM 560100,"作業研究與應用
Operations research and applications","洪一峯HUNG, YI-FENG",24,3.92,0.17,IEM5601,27946199682379172857871897370697871
109暑,JADN 510100,"教育研究法
Introduction to Educational Research Methodology","余季音Yu, Chi-Ying",14,3.98,0.14,JADN5101,203132339538899891176710410589105110103
109暑,JADN 530200,"繪畫創作研究
Study of Painting","吳宇棠WU, YU-TANG",15,3.9,0.24,JADN5302,2155523431268488785898584657871
109暑,JADN 530400,"水墨創作研究
Study of Chinese Ink Painting","胡以誠HU, YI-CHENG",5,3.86,0.34,JADN5304,329932019735488728589736772697871
