0,1,2,3,4,5
11020AES 510000,專題演講Colloquium,"黃郁棻HUANG, YU-FEN",38,3.69,0.55
11020AES 510100,碩士班專題研究MS Graduate Research,指導教授,14,4.26,0.11
11020AES 511100,書報討論Seminar,"黃郁棻HUANG, YU-FEN",14,4.19,0.14
11020AES 520200,綠色科技Green technology,"周子勤CHOU, TSU-CHIN",10,3.33,1.17
11020AES 520500,環境生物技術Environmental Biotechnology,"周秀專CHOU, HSIU-CHUAN",13,4.09,0.25
11020AES 530100,空氣品質量測Air quality characterization,"林采吟LIN, TSAI-YIN",9,3.89,0.3
11020AES 550500,環境毒物學Environmental Toxicology,"董瑞安DOONG, RUEY-AN",12,4.05,0.27
11020AES 560100,生物環境復育Environmental Bioremediation,"李清福LEE, CHING-FU",7,3.9,0.29
11020AES 560300,當代環境醫學特論二Specific Topic for Contemporary Environmental Medicine (II),"周秀專CHOU, HSIU-CHUAN",4,4.3,0
11020AES 580100,環境奈米科學Environmental Nano-science,"王竹方WANG, CHU-FANG",26,3.79,0.42
11020AES 580200,觸媒產氫技術Technology of Catalysis Hydrogen Generation,"周子勤CHOU, TSU-CHIN",3,3.77,0.56
11020AES 611100,專題書報討論Seminar,"吳劍侯WU, CHIEN-HOU",24,3.87,0.35
11020ANTH651600,性別人類學The Anthropology of Gender,"呂玫鍰LU, MEI-HUAN",7,3.96,0.25
11020ANTH674500,生命歷程與全球化Life course and globalization,"方怡潔FANG, I-CHIEH",8,3.85,0.21
11020ANTH675300,水下考古學underwater archaeology,"臧振華TSANG, CHENG-HWA",3,4,0
11020ANTH675900,公民與政治生活Anthropological Studies of Citizenship and Political Life,許瀞文CHING-WEN HSU,6,3.68,0.33
11020ANTH676700,考古學方法論Archaeological Methodology,謝艾倫ELLEN HSIEH,4,3.78,0.13
11020ANTH677700,考古遺物測繪與攝影方法Drawing and Photography Techniques for Archaeological Remains,"邱鴻霖CHIU, HUNG-LIN",15,3.97,0.35
11020ANTH679300,大洋洲民族誌Ethnographies of Oceania,"林浩立LIN, HAO-LI",3,3.9,0.14
11020ASTR530000,星系天文學Galactic Astronomy,"安德魯˙古柏COOPER, ANDREW PAUL",5,3.72,0.63
11020ASTR592000,專題演講二Colloquium (II),何英宏Daniel Harsono,14,3.66,0.82
11020ASTR600800,天文物理的前沿二Frontier of Astrophysics Seminars II,"後藤友嗣GOTO, TOMOTSUGU",5,4.3,0
11020ASTR620000,天文輻射物理Astrophysical Radiative Processes,"張祥光CHANG, HSIANG-KUANG",7,4.09,0.14
11020ASTR650000,星際介質Interstellar Medium,"賴詩萍LAI, SHIH-PING",11,4.13,0.29
11020ASTR660000,計算天文物理Computational Astrophysics,"潘國全PAN, KUO-CHUAN",8,3.29,1.43
11020BAI 700400,科學Science,"楊立威YANG, LEE-WEI",5,4.24,0.12
11020BAI 700500,統計與機器學習概論二Introduction of Statistics and Machine Learning (II),"李祈均LEE, CHI-CHUN",3,4,0.24
11020BAI 700700,實驗輪轉二Lab Rotation (II),"羅中泉LO, CHUNG-CHUAN張筱涵CHANG, HSIAO-HAN朱麗安CHU, LI-AN",2,4.3,0
11020BME 400100,專題研究Undergraduate Research,指導教授,5,4.3,0
11020BME 500400,書報討論Seminar,"魯才德LU, TSAI-TE",35,4.06,0.21
11020BME 500500,奈米材料化學Nanomaterial Chemistry,"萬德輝WAN, DE-HUI",10,3.81,0.45
11020BME 501800,先進生物顯影技術Advanced Bioimaging Technologies,"林宗宏LIN, ZONG-HONG",10,4.03,0.25
11020BME 503000,高等醫材分析技術Advanced Analytical Technologies,"萬德輝WAN, DE-HUI",7,4,0.23
11020BME 503100,重點照護檢驗Point-of-Care Diagnostics,"鄭兆珉CHENG, CHAO-MIN",5,4.3,0
11020BME 503200,再生醫學與組織工程Regenerative medicine and tissue engineering,"黃玠誠HUANG, CHIEH-CHENG",32,4.2,0.14
11020BME 503400,分子生醫影像導論Introduction to Molecular Imaging,"魯才德LU, TSAI-TE",9,3.86,0.27
11020BME 503500,醫療器材進階法規實作練習Workshop Practice on Medical Device Regulations,"王明哲WANG, MING-CHE",10,4.3,0
11020BME 504300,磁性生醫材料Magnetic Biomaterial,"魯才德LU, TSAI-TE",7,4,0.28
11020BME 504700,生醫感測數值統計分析Biomedical sensing technology and statistical analysis,"林幸瑩LIN, HSING-YING",3,4.3,0
11020BMES112200,生命科學導論Introduction to Life Science,"莊淳宇CHUANG, CHUN-YU",44,3.02,1.06
11020BMES211200,工程數學二Engineering Mathematics II,"劉耕谷LIU, KENG-KU",41,3.16,1.19
11020BMES223200,電子學二Electronics II,"葉秩光YEH, CHIH-KUANG",27,3.85,0.61
11020BMES225200,有機化學二Organic Chemistry (II),"俞鐘山YU, CHUNG-SHAN",16,3.01,1.2
11020BMES232200,分析化學一Analytical Chemistry (I),"李亦淇LEE, I-CHI",11,3.53,0.66
11020BMES240200,計算機概論與程式語言Introduction to Computer Science and Programming Language,"彭旭霞PENG, HSU-HSIA",20,3.89,0.92
11020BMES318200,專題研究二Undergraduate Research (II),指導教授,23,4.16,0.17
11020BMES323401,生物與材料實驗Biology and Biomedical Materials Laboratory,"李亦淇LEE, I-CHI",14,3.93,1.1
11020BMES323402,生物與材料實驗Biology and Biomedical Materials Laboratory,"莊淳宇CHUANG, CHUN-YU",29,4.25,0.11
11020BMES325100,生理解剖學Human Anatomy and Physiology,"柯美蘭KO, MEI-LAN",36,3.03,0.99
11020BMES326200,生物化學二Biochemistry II,"江啟勳CHIANG, CHI-SHIUN",17,3.22,0.9
11020BMES411200,書報討論Seminar,"邱信程CHIU, HSIN-CHENG",12,4.14,0.36
11020BMES418200,專題研究四Undergraduate Research (IV),指導教授,6,4.25,0.11
11020BMES424200,分子遺傳學Molecular Genetics,"張建文CHANG, CHIEN-WEN",30,3.05,1.14
11020BMES424400,生醫高分子導論Introduction of Biomedical Polymer,"胡尚秀HU, SHANG-HSIU",34,4.02,0.6
11020BMES432200,全球暖化與環境衝擊Global Warming and Environmental Impact,"鍾堅CHUNG, CHIEN",117,3.54,0.86
11020BMES500000,專題演講Colloquium,"俞鐘山YU, CHUNG-SHAN彭旭霞PENG, HSU-HSIA",110,4.3,0
11020BMES511201,書報討論-分子生醫工程與材料Seminar：Molecular Biomedical Engineering and Materials,"俞鐘山YU, CHUNG-SHAN",23,4.05,0.14
11020BMES511203,書報討論-生醫影像工程Seminar：Biomedical Imaging Engineering,"彭旭霞PENG, HSU-HSIA",17,4.12,0.25
11020BMES512200,碩士班專題研究二MS Graduate Research (II),指導教授,40,4.21,0.23
11020BMES522100,生醫光電基礎Fundamentals of Biophotonics,"陳之碩CHEN, CHI-SHUO",14,3.64,0.61
