"學期
Semester","課號
CourseID","課名
Course Title","教師
Instructor","選課人數
Enrollment Count","平均GPA
Average GPA","標準差
Standard Deviation",course,instructor_ref
109下,AES 370100,"環境科學與工程
Environmental Science and Engineering","吳劍侯WU, CHIEN-HOU",8,3.21,1.02,AES3701,21555211332039987856772736978727985
109下,AES 510000,"專題演講
Colloquium","周秀專CHOU, HSIU-CHUAN",39,3.97,0.16,AES5100,21608311682356067727985728373856772856578
109下,AES 510100,"碩士班專題研究
MS Graduate Research",指導教授,27,4.11,0.32,AES5101,25351235662594525480
109下,AES 511100,"書報討論
Seminar","周秀專CHOU, HSIU-CHUAN",21,3.96,0.21,AES5111,21608311682356067727985728373856772856578
109下,AES 520200,"綠色科技
Green technology","周子勤CHOU, TSU-CHIN",31,3.54,0.67,AES5202,2160823376212206772798584838567727378
109下,AES 540300,"生物分析技術
Bioanalytical Chemistry","黃郁棻HUANG, YU-FEN",3,4.2,0.14,AES5403,40643370572687572856578718985706978
109下,AES 560100,"生物環境復育
Environmental Bioremediation","李清福LEE, CHING-FU",5,4.0,0.19,AES5601,26446281653111976696967727378717085
109下,AES 560300,"當代環境醫學特論二
Specific Topic for Contemporary Environmental Medicine (II)","周秀專CHOU, HSIU-CHUAN",5,4.12,0.15,AES5603,21608311682356067727985728373856772856578
109下,AES 570300,"汙染生態學
Pollution Ecology","楊樹森YANG, SHU-SEN",4,4.15,0.15,AES5703,26954271932686289657871837285836978
109下,AES 580100,"環境奈米科學
Environmental Nano-science","王竹方WANG, CHU-FANG",24,4.02,0.25,AES5801,2957931481260418765787167728570657871
109下,AES 611100,"專題書報討論
Seminar","周秀專CHOU, HSIU-CHUAN",20,3.97,0.16,AES6111,21608311682356067727985728373856772856578
109下,ANTH 600000,"南島語系社會與文化
Austronesian Societies and Cultures","顧坤惠KU, KUN-HUI",5,4.0,0.19,ANTH6000,3901522372248007585758578728573
109下,ANTH 652300,"經濟人類學
Anthropology of Economics","方怡潔FANG, I-CHIEH",6,3.83,0.31,ANTH6523,26041246092850070657871736772736972
109下,ANTH 654200,"人類學方法論
Anthropological Methodology","李威宜LEE, WEI-I",15,3.6,0.82,ANTH6542,26446230412345276696987697373
109下,ANTH 676500,"東南亞考古學
Archaeology of Southeast Asia","臧振華TSANG, CHENG-HWA",4,3.83,0.37,ANTH6765,33255253913377584836578716772697871728765
109下,ANTH 676700,"考古學方法論
Archaeological Methodology","邱鴻霖CHIU, HUNG-LIN",4,4.08,0.13,ANTH6767,3704140251386786772738572857871767378
109下,ANTH 678200,"當代考古學理論
Contemporary Archaeological Theories and Methods",謝艾倫ELLEN HSIEH,3,4.0,0.0,ANTH6782,35613334062052369767669787283736972
109下,ANTH 678300,"疫病與社會：人類世觀點
Epidemic and Society in Anthropocene","劉紹華LIU, SHAO-HUA
黃樹民HUANG, SHU-MIN",4,3.93,0.13,ANTH6783,211293205733775767385837265797285654064327193276657285657871837285777378
109下,ANTH 678400,"自然文化與權力：殖民主義到
21世紀資本主義Nature, Culture, and Power from Colonialism to 21st Century Capitalism","高進榮GALIPEAU, BRENDAN ARTHUR",2,4.3,0.0,ANTH6784,396403691427054716576738069658566826978686578658284728582
109下,ANTH 678500,"藝術、人類學、與民族誌的對話
Art, Anthropology, and Ethnography","許瀞文CHING-WEN HSU
張晴文CHANG, CHING-WEN",9,3.87,0.21,ANTH6785,353772870225991677273787187697872838524373262282599167726578716772737871876978
109下,ANTH 678600,"動物考古學
Zooarchaeology","李匡悌LI, KUANG-TI",10,4.06,0.22,ANTH6786,264462128124716767375856578718473
109下,ANTH 678700,"書報討論：環境保育民族誌
Ethnographies of Conservation",指導教授,1,4.3,0.0,ANTH6787,25351235662594525480
109下,ASTR 530000,"星系天文學
Galactic Astronomy","安德魯˙古柏COOPER, ANDREW PAUL",8,3.68,0.58,ASTR5300,234332450339791214762657567797980698265786882698780658576
109下,ASTR 592000,"專題演講二
Colloquium (II)","楊湘怡YANG, HSIANG-YI",14,3.84,0.31,ASTR5920,269542824824609896578717283736578718973
